acc,latency,cost
0.8251066014107722,183.83890288065896,0.08206701118079832
0.9160973480326474,237.04390007935189,0.09714354181474578
0.7000343124452034,140.89044994630348,0.03820817603433186
0.7906997717895519,275.6234872781891,0.07230903541023828
0.7440267672451338,105.47751863958523,0.08887502370664346
0.7277015784306393,234.09350203568044,0.09051459971534627
0.7558780634133012,183.4609604734254,0.017653979023280014
0.8036682181129143,211.73796568915034,0.013514930490959413
0.819030242269201,128.07738771904675,0.025284737760811204
0.8616450202010071,139.62029781697575,0.08903282530864719
